Hour Index,Inflated to 2020 prices,,,adjusted_value = (old_value * cpi_current) / cpi_old,,,,,,,Year,Annual,,,,,,($/kWh),,,,Inflated to 2020 prices
285,0.028568146,,,,,,,,,,,,,,,,,0.02822,,,,0.028568146
286,0.02692816,,,,,,,,,,,,,,,,,0.0266,,,,0.02692816
287,0.022726962,,,,,,,,,,,,,,,,,0.02245,,,,0.022726962
288,0.021805736,,,,,,,,,,,,,,,,,0.02154,,,,0.021805736
289,0.023182514,,,,,,,,,,,,,,,,,0.0229,,,,0.023182514
290,0.02208919,,,,,,,,,,,,,,,,,0.02182,,,,0.02208919
291,0.022605482,,,,,,,,,,,,,,,,,0.02233,,,,0.022605482
292,0.022281534,,,,,,,,,,,,,,,,,0.02201,,,,0.022281534
293,0.024002507,,,,,,,,,,,,,,,,,0.02371,,,,0.024002507
294,0.025146447,,,,,,,,,,,,,,,,,0.02484,,,,0.025146447
295,0.026421992,,,,,,,,,,,,,,,,,0.0261,,,,0.026421992
296,0.029620976,,,,,,,,,,,,,,,,,0.02926,,,,0.029620976
297,0.036373263,,,,,,,,,,,,,,,,,0.03593,,,,0.036373263
298,0.03362983,,,,,,,,,,,,,,,,,0.03322,,,,0.03362983
299,0.031433059,,,,,,,,,,,,,,,,,0.03105,,,,0.031433059
300,0.027505192,,,,,,,,,,,,,,,,,0.02717,,,,0.027505192
301,0.026796556,,,,,,,,,,,,,,,,,0.02647,,,,0.026796556
302,0.024022753,,,,,,,,,,,,,,,,,0.02373,,,,0.024022753
303,0.022251164,,,,,,,,,,,,,,,,,0.02198,,,,0.022251164
304,0.022018326,,,,,,,,,,,,,,,,,0.02175,,,,0.022018326
305,0.023708929,,,,,,,,,,,,,,,,,0.02342,,,,0.023708929
306,0.039258423,,,,,,,,,,,,,,,,,0.03878,,,,0.039258423
307,0.052712379,,,,,,,,,,,,,,,,,0.05207,,,,0.052712379
308,0.040645324,,,,,,,,,,,,,,,,,0.04015,,,,0.040645324
309,0.034378959,,,,,,,,,,,,,,,,,0.03396,,,,0.034378959
310,0.031837994,,,,,,,,,,,,,,,,,0.03145,,,,0.031837994
311,0.0269889,,,,,,,,,,,,,,,,,0.02666,,,,0.0269889
312,0.02599681,,,,,,,,,,,,,,,,,0.02568,,,,0.02599681
